"","lneconaid","l.physint","l.polity2","l.lneconaid","l.lnrgdp","l.lnpop","colony","recep","donor"
"66",0,1,6,0,9.23757648468018,7.27238464355469,0,"Estonia","Australia"
"67",0,5,1,0.655590295791626,6.58408689498901,11.0234956741333,0,"Ethiopia","Australia"
"70",6.74004220962524,1,6,6.5496973991394,8.45048046112061,6.71030378341675,0,"Fiji","Australia"
"71",0,0,10,0,9.97977256774902,8.54942798614502,0,"Finland","Australia"
"72",0,2,9,0,10.0902223587036,10.9863300323486,0,"France","Australia"
"74",0,2,-4,0,9.31616592407227,7.08264923095703,0,"Gabon","Australia"
"75",0,2,-5,0,6.83022594451904,7.18813323974609,0,"Gambia","Australia"
"76",0,6,5,0,8.21845054626465,8.5281810760498,0,"Georgia","Australia"
"77",0,2,10,0,10.0989198684692,11.31773853302,0,"German Federal Republic","Australia"
"78",0.421148657798767,2,2,0.682718575000763,7.10780191421509,9.86053943634033,0,"Ghana","Australia"
"80",0,1,10,0,9.50950050354004,9.29908466339111,0,"Greece","Australia"
"82",0.798649668693542,4,8,0,8.24909687042236,9.43086814880371,0,"Guatemala","Australia"
"83",0,6,-1,0,7.84513425827026,9.03998851776123,0,"Guinea","Australia"
"84",0,5,3,0,6.30133628845215,7.1304988861084,0,"Guinea-Bissau","Australia"
"85",2.1594386100769,1,6,0,8.18595504760742,6.54990816116333,0,"Guyana","Australia"
"86",1.72148668766022,6,2,0,7.56693696975708,8.86306095123291,0,"Haiti","Australia"
"87",0.991522312164307,5,7,0,7.67970418930054,8.70683002471924,0,"Honduras","Australia"
"89",0,1,10,0,9.28928852081299,9.23505210876465,0,"Hungary","Australia"
"91",1.3831844329834,8,9,0.882771909236908,7.86056327819824,13.8022117614746,0,"India","Australia"
"92",3.83728170394897,8,6,4.22756147384644,8.18751335144043,12.302939414978,0,"Indonesia","Australia"
"93",0.257860839366913,8,3,0.0292418729513884,8.66838645935059,11.0858249664307,0,"Iran (Persia)","Australia"
"94",0,8,-9,0,7.87954521179199,10.0002212524414,0,"Iraq","Australia"
"95",0,1,10,0,10.0514764785767,8.22930812835693,0,"Ireland","Australia"
"96",2.31526350975037,5,10,0,9.95032405853271,8.65568828582764,0,"Israel","Australia"
"97",0,3,10,0,9.99273490905762,10.9619140625,0,"Italy/Sardinia","Australia"
"98",0,2,9,0,8.42088890075684,7.87834119796753,0,"Jamaica","Australia"
"99",0,1,10,0,10.0633172988892,11.7500219345093,0,"Japan","Australia"
"100",1.90350723266602,4,-2,0,8.26646518707275,8.48525428771973,0,"Jordan","Australia"
"101",0,3,-4,0,8.71506500244141,9.72607803344727,0,"Kazakhstan","Australia"
"102",3.22005319595337,7,-2,1.95762622356415,7.13332796096802,10.3026266098022,0,"Kenya","Australia"
"104",4.4412841796875,8,-9,4.08830547332764,7.16394662857056,9.99738788604736,0,"Korea, People's Republic of","Australia"
"105",0.0442521795630455,3,8,0,9.24967861175537,10.6751689910889,0,"Korea, Republic of","Australia"
"107",0,3,-7,0,10.1402721405029,7.55236864089966,0,"Kuwait","Australia"
"108",0,2,-3,0,8.09208679199219,8.43939590454102,0,"Kyrgyz Republic","Australia"
"109",6.74164581298828,3,-7,4.85204362869263,7.15205717086792,8.587082862854,0,"Laos","Australia"
"110",0,1,8,0,9.0384578704834,7.7937970161438,0,"Latvia","Australia"
"112",0,0,2,0,7.50873804092407,7.51725435256958,0,"Lesotho","Australia"
"113",0,7,0,0,6.01332378387451,7.99774360656738,0,"Liberia","Australia"
"114",0,5,-7,0,9.24327659606934,8.51587390899658,0,"Libya","Australia"
"116",0,1,10,0,9.06805038452148,8.19734573364258,0,"Lithuania","Australia"
"118",0,2,6,0,8.53861236572266,7.61700201034546,0,"Macedonia (Former Yugoslav Republic of)","Australia"
"119",0.375743865966797,1,7,0,6.69820642471313,9.61880207061768,0,"Madagascar (Malagasy)","Australia"
"120",1.79314494132996,3,6,4.1520209312439,6.72395277023315,9.26987361907959,0,"Malawi","Australia"
"121",4.66349697113037,3,3,3.29941153526306,9.29201507568359,9.96901607513428,0,"Malaysia","Australia"
"123",0,1,6,0,7.02048540115356,9.2457447052002,0,"Mali","Australia"
"126",0,3,-6,0,7.30419969558716,7.85961389541626,0,"Mauritania","Australia"
"127",3.85816645622253,3,10,4.17342615127563,9.55147266387939,7.06418609619141,0,"Mauritius","Australia"
"128",0.29448738694191,5,6,0,8.94907665252686,11.4990978240967,0,"Mexico","Australia"
"131",0,2,7,0,7.68573045730591,8.39661502838135,0,"Moldova","Australia"
"133",3.27431702613831,1,10,0,7.31687355041504,7.84994745254517,0,"Mongolia","Australia"
"135",0.0639047548174858,4,-6,0,8.22915363311768,10.2954216003418,0,"Morocco","Australia"
"136",4.41904354095459,5,6,6.18097305297852,6.95509672164917,9.75990200042725,0,"Mozambique","Australia"
"137",1.68455636501312,7,-7,2.72183299064636,6.77587985992432,10.6166820526123,0,"Myanmar (Burma)","Australia"
"140",0,5,6,0,8.50034236907959,7.4884672164917,0,"Namibia","Australia"
"142",4.40901470184326,6,6,2.77118134498596,7.23100471496582,10.0911026000977,0,"Nepal","Australia"
"143",0,0,10,0,10.146728515625,9.6685848236084,0,"Netherlands","Australia"
"145",0,0,10,0,9.91214942932129,8.23863220214844,0,"New Zealand","Australia"
"146",0,3,8,0,8.08697605133057,8.45660018920898,0,"Nicaragua","Australia"
"147",0,2,5,0,6.78414011001587,9.19911956787109,0,"Niger","Australia"
"148",0.158238366246223,6,4,0,6.96198749542236,11.6985511779785,0,"Nigeria","Australia"
"151",0,0,10,0,10.3845338821411,8.406174659729,0,"Norway","Australia"
"153",0,1,-9,0,9.67177772521973,7.80273246765137,0,"Oman","Australia"
"154",1.04524886608124,6,-6,0.257556617259979,7.81822109222412,11.8385972976685,0,"Pakistan","Australia"
"157",0,2,9,0,8.96486854553223,7.9344277381897,0,"Panama","Australia"
"158",10.2493305206299,3,10,8.38945865631104,8.47391986846924,8.47767639160156,0,"Papua New Guinea","Australia"
"159",0,3,7,0,8.52894592285156,8.60147190093994,0,"Paraguay","Australia"
"160",1.07162714004517,6,1,0,8.33137702941895,10.1862163543701,0,"Peru","Australia"
"161",3.46212911605835,6,8,3.55896162986755,8.14855575561523,11.2661800384521,0,"Philippines","Australia"
"162",0,0,9,0,9.02457237243652,10.5625534057617,0,"Poland","Australia"
"163",0,1,10,0,9.73076725006104,9.22786808013916,0,"Portugal","Australia"
"165",0,2,8,0,8.54644680023193,10.0204048156738,0,"Rumania","Australia"
"166",0.00525462068617344,5,4,0,9.05150604248047,11.8948879241943,0,"Russia (Soviet Union)","Australia"
"167",0,5,-6,0,6.88243770599365,8.8943452835083,0,"Rwanda","Australia"
"179",0,6,-1,0,7.30812740325928,9.16187858581543,0,"Senegal","Australia"
"182",2.46051478385925,2,-2,0,10.2215051651001,8.29609775543213,0,"Singapore","Australia"
"183",0,1,9,0,9.16377067565918,8.5936222076416,0,"Slovakia","Australia"
"184",0,0,10,0,9.77340126037598,7.5624213218689,0,"Slovenia","Australia"
"187",4.19419813156128,4,9,2.14924621582031,8.97656154632568,10.6465578079224,0,"South Africa","Australia"
"188",0,1,10,0,9.83849906921387,10.6073179244995,0,"Spain","Australia"
"189",2.6572470664978,6,5,4.04905843734741,8.26993846893311,9.8555908203125,0,"Sri Lanka (Ceylon)","Australia"
"190",0,8,-7,0,6.88830757141113,10.436619758606,0,"Sudan","Australia"
"192",0,2,-9,0,9.02512550354004,7.00432825088501,0,"Swaziland","Australia"
"193",0,0,10,0,10.0926370620728,9.08984851837158,0,"Sweden","Australia"
"194",0,0,10,0,10.2390060424805,8.87338924407959,0,"Switzerland","Australia"
"195",0,5,-9,0,7.59819889068604,9.67337703704834,0,"Syria","Australia"
"196",0,1,9,0,9.81204319000244,9.99850082397461,0,"Taiwan","Australia"
"197",0,6,-1,0,7.27940845489502,8.749680519104,0,"Tajikistan","Australia"
